"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1023","Crear un carrito","","2026-07-01","passed","2026-07-01","","Requests al backend del Ecommerce","Crear un carrito",""
"","2193","Validar integracion de la tasa de cambio","","2026-07-01","failed","2026-07-01","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","2348","Comprobar el estado de los componentes","","2026-07-01","failed","2026-07-01","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","2647","Listar todos los médicos activos","","2026-07-01","failed","2026-07-01","","Requests al backend del Ecommerce","Listar todos los médicos activos",""
"","2176","Desactivar un médico haciendo un borrado lógico","","2026-07-01","failed","2026-07-01","","Requests al backend del Ecommerce","Desactivar un médico haciendo un borrado lógico",""
"","11613","Consultar estado de la base de datos","","2026-07-01","passed","2026-07-01","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","2729","Autenticarme como un cliente","","2026-07-01","passed","2026-07-01","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","1843","Registrar un cliente nuevo exitosamente","","2026-07-01","passed","2026-07-01","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","1177","Comprobar el estado de una comanda registrada","","2026-07-01","failed","2026-07-01","","Requests al backend del Ecommerce","Comprobar el estado de una comanda registrada",""
"","5073","Registrar un nuevo medico exitosamente","","2026-07-01","failed","2026-07-01","","Requests al backend del Ecommerce","Registrar un nuevo medico exitosamente",""
"","2189","Obtener los datos propios de un cliente autenticado","","2026-07-01","passed","2026-07-01","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","3657","Actualizar la especialidad de un médico específico","","2026-07-01","failed","2026-07-01","","Requests al backend del Ecommerce","Actualizar la especialidad de un médico específico",""
"","1209","Consultar el estado de los códigos de descuento de doctores","","2026-07-01","failed","2026-07-01","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento de doctores",""
"","62486","Validar que el home carga correctamente","","2026-07-01","failed","2026-07-01","","Home del Ecommerce","Validar que el home carga correctamente",""
