"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1107","Listar todos los médicos activos","","2026-07-08","failed","2026-07-08","","Requests al backend del Ecommerce","Listar todos los médicos activos",""
"","914","Desactivar un médico haciendo un borrado lógico","","2026-07-08","failed","2026-07-08","","Requests al backend del Ecommerce","Desactivar un médico haciendo un borrado lógico",""
"","888","Obtener los datos propios de un cliente autenticado","","2026-07-08","failed","2026-07-08","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","42531","Validar que el home carga correctamente","","2026-07-08","failed","2026-07-08","","Home del Ecommerce","Validar que el home carga correctamente",""
"","944","Validar integracion de la tasa de cambio","","2026-07-08","failed","2026-07-08","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","1009","Consultar el estado de los códigos de descuento de doctores","","2026-07-08","failed","2026-07-08","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento de doctores",""
"","1534","Autenticarme como un cliente","","2026-07-08","failed","2026-07-08","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","10123","Consultar estado de la base de datos","","2026-07-08","passed","2026-07-08","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","998","Actualizar la especialidad de un médico específico","","2026-07-08","failed","2026-07-08","","Requests al backend del Ecommerce","Actualizar la especialidad de un médico específico",""
"","943","Crear un carrito","","2026-07-08","failed","2026-07-08","","Requests al backend del Ecommerce","Crear un carrito",""
"","927","Comprobar el estado de una comanda registrada","","2026-07-08","failed","2026-07-08","","Requests al backend del Ecommerce","Comprobar el estado de una comanda registrada",""
"","1037","Registrar un nuevo medico exitosamente","","2026-07-08","failed","2026-07-08","","Requests al backend del Ecommerce","Registrar un nuevo medico exitosamente",""
"","1922","Registrar un cliente nuevo exitosamente","","2026-07-08","passed","2026-07-08","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","2061","Comprobar el estado de los componentes","","2026-07-08","passed","2026-07-08","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
