"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2864","Visualizar el carrito al hacer click en el icono","","2026-07-21","passed","2026-07-21","","Home del Ecommerce","Visualizar el carrito al hacer click en el icono",""
"","12167","Agregar un producto al carrito desde el home","","2026-07-21","broken","2026-07-21","","Home del Ecommerce","Agregar un producto al carrito desde el home",""
"","12667","Visualizar el carrito al hacer click en el icono","","2026-07-21","broken","2026-07-21","","Home del Ecommerce","Visualizar el carrito al hacer click en el icono",""
"","1582","Comprobar el estado de los componentes","","2026-07-21","passed","2026-07-21","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","2003","Validar integracion de la tasa de cambio","","2026-07-21","failed","2026-07-21","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","4333","Validar que el home carga correctamente","","2026-07-21","passed","2026-07-21","","Home del Ecommerce","Validar que el home carga correctamente",""
"","2026","Registrar un cliente nuevo exitosamente","","2026-07-21","passed","2026-07-21","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","3860","Navegar a la pagina de un producto recomendado desde el home","","2026-07-21","passed","2026-07-21","","Home del Ecommerce","Navegar a la pagina de un producto recomendado desde el home",""
"","11840","Consultar estado de la base de datos","","2026-07-21","passed","2026-07-21","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","2677","Al cambiar de pagina el usuario debe estar al inicio de la pagina","","2026-07-21","failed","2026-07-21","","Home del Ecommerce","Al cambiar de pagina el usuario debe estar al inicio de la pagina",""
"","1705","Autenticarme como un cliente","","2026-07-21","passed","2026-07-21","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","1126","Consultar el estado de los códigos de descuento","","2026-07-21","failed","2026-07-21","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento",""
"","1684","Obtener los datos propios de un cliente autenticado","","2026-07-21","failed","2026-07-21","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","663","Consultar el estado de los códigos de descuento","","2026-07-21","passed","2026-07-21","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento",""
"","12036","Validar que el boton de buscar por foto no sustituya al de agregar al carrito","","2026-07-21","broken","2026-07-21","","Home del Ecommerce","Validar que el boton de buscar por foto no sustituya al de agregar al carrito",""
