"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2333","Validar integracion de la tasa de cambio","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","2159","Actualizar la especialidad de un médico específico","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Actualizar la especialidad de un médico específico",""
"","1124","Comprobar el estado de una comanda registrada","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Comprobar el estado de una comanda registrada",""
"","2195","Desactivar un médico haciendo un borrado lógico","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Desactivar un médico haciendo un borrado lógico",""
"","2561","Autenticarme como un cliente","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","1151","Consultar el estado de los códigos de descuento de doctores","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento de doctores",""
"","6089","Consultar estado de la base de datos","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","2268","Registrar un nuevo medico exitosamente","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Registrar un nuevo medico exitosamente",""
"","1970","Registrar un cliente nuevo exitosamente","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","1859","Comprobar el estado de los componentes","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","2377","Listar todos los médicos activos","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Listar todos los médicos activos",""
"","2098","Obtener los datos propios de un cliente autenticado","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","1020","Crear un carrito","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Crear un carrito",""
