"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Comprobar el estado de los componentes","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","12","Listar todos los médicos activos","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Listar todos los médicos activos",""
"","5","Validar que el home carga correctamente","","2026-07-01","skipped","2026-07-01","","Home del Ecommerce","Validar que el home carga correctamente",""
"","10","Actualizar la especialidad de un médico específico","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Actualizar la especialidad de un médico específico",""
"","11","Registrar un nuevo medico exitosamente","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Registrar un nuevo medico exitosamente",""
"","15","Registrar un cliente nuevo exitosamente","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","8","Desactivar un médico haciendo un borrado lógico","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Desactivar un médico haciendo un borrado lógico",""
"","13","Obtener los datos propios de un cliente autenticado","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","6437","Consultar estado de la base de datos","","2026-07-01","broken","2026-07-01","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","19","Crear un carrito","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Crear un carrito",""
"","7","Consultar el estado de los códigos de descuento de doctores","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento de doctores",""
"","8","Comprobar el estado de una comanda registrada","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Comprobar el estado de una comanda registrada",""
"","16","Validar integracion de la tasa de cambio","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","7","Autenticarme como un cliente","","2026-07-01","skipped","2026-07-01","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
