"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","983","Comparativa de productos por un principio activo inexistente","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Comparativa de productos por un principio activo inexistente",""
"","2320","Obtener los datos propios de un cliente autenticado","","2026-07-26","failed","2026-07-26","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","3053","Validar integracion de la tasa de cambio","","2026-07-26","failed","2026-07-26","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","891","Rechazar consulta de perfil sin token","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Rechazar consulta de perfil sin token",""
"","897","Consultar el estado de los códigos de descuento","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento",""
"","3017","Validar que el home carga correctamente","","2026-07-26","passed","2026-07-26","","Home del Ecommerce","Validar que el home carga correctamente",""
"","2194","Registrar un cliente nuevo exitosamente","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","889","Rechazar consulta de perfil con token inválido","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Rechazar consulta de perfil con token inválido",""
"","1082","Consultar el estado de los códigos de descuento","","2026-07-26","failed","2026-07-26","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento",""
"","3054","Listar el log de auditoria de ventas como administrador","","2026-07-26","broken","2026-07-26","","Requests al backend del Ecommerce","Listar el log de auditoria de ventas como administrador",""
"","33172","Navegar a la pagina de un producto recomendado desde el home","","2026-07-26","failed","2026-07-26","","Home del Ecommerce","Navegar a la pagina de un producto recomendado desde el home",""
"","3747","Visualizar el carrito al hacer click en el icono","","2026-07-26","passed","2026-07-26","","Home del Ecommerce","Visualizar el carrito al hacer click en el icono",""
"","8377","Consultar el endpoint root","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Consultar el endpoint root",""
"","2514","Listar todos los productos del catalogo como administrador","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Listar todos los productos del catalogo como administrador",""
"","913","Consultar el detalle de un producto existente de forma publica","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Consultar el detalle de un producto existente de forma publica",""
"","1032","Comparativa de productos por un principio activo existente","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Comparativa de productos por un principio activo existente",""
"","1007","Listar los principios activos disponibles","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Listar los principios activos disponibles",""
"","12242","Al cambiar de pagina el usuario debe estar al inicio de la pagina","","2026-07-26","broken","2026-07-26","","Home del Ecommerce","Al cambiar de pagina el usuario debe estar al inicio de la pagina",""
"","13601","Visualizar el carrito al hacer click en el icono","","2026-07-26","broken","2026-07-26","","Home del Ecommerce","Visualizar el carrito al hacer click en el icono",""
"","1140","Listar productos del catalogo publico con paginacion","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Listar productos del catalogo publico con paginacion",""
"","1325","Comprobar el health ready del sistema","","2026-07-26","failed","2026-07-26","","Requests al backend del Ecommerce","Comprobar el health ready del sistema",""
"","1062","Comprobar el health de integración","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Comprobar el health de integración",""
"","922","Comprobar el health live del sistema","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Comprobar el health live del sistema",""
"","3612","Obtener los datos propios de un administrador autenticado","","2026-07-26","failed","2026-07-26","","Requests al backend del Ecommerce","Obtener los datos propios de un administrador autenticado",""
"","1781","Autenticarme como un cliente","","2026-07-26","passed","2026-07-26","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
