"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1801","Comprobar el estado de los componentes","","2026-07-12","passed","2026-07-12","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","2502","Desactivar un médico haciendo un borrado lógico","","2026-07-12","failed","2026-07-12","","Requests al backend del Ecommerce","Desactivar un médico haciendo un borrado lógico",""
"","13495","Consultar estado de la base de datos","","2026-07-12","passed","2026-07-12","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","3620","Actualizar la especialidad de un médico específico","","2026-07-12","failed","2026-07-12","","Requests al backend del Ecommerce","Actualizar la especialidad de un médico específico",""
"","944","Comprobar el estado de una comanda registrada","","2026-07-12","failed","2026-07-12","","Requests al backend del Ecommerce","Comprobar el estado de una comanda registrada",""
"","4191","Registrar un nuevo medico exitosamente","","2026-07-12","failed","2026-07-12","","Requests al backend del Ecommerce","Registrar un nuevo medico exitosamente",""
"","2064","Obtener los datos propios de un cliente autenticado","","2026-07-12","failed","2026-07-12","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","1016","Consultar el estado de los códigos de descuento de doctores","","2026-07-12","failed","2026-07-12","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento de doctores",""
"","3108","Listar todos los médicos activos","","2026-07-12","failed","2026-07-12","","Requests al backend del Ecommerce","Listar todos los médicos activos",""
"","1842","Registrar un cliente nuevo exitosamente","","2026-07-12","passed","2026-07-12","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","42745","Validar que el home carga correctamente","","2026-07-12","failed","2026-07-12","","Home del Ecommerce","Validar que el home carga correctamente",""
"","2666","Autenticarme como un cliente","","2026-07-12","passed","2026-07-12","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","2205","Validar integracion de la tasa de cambio","","2026-07-12","failed","2026-07-12","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","942","Crear un carrito","","2026-07-12","failed","2026-07-12","","Requests al backend del Ecommerce","Crear un carrito",""
