"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2026","Comprobar el estado de los componentes","","2026-07-10","passed","2026-07-10","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","969","Crear un carrito","","2026-07-10","failed","2026-07-10","","Requests al backend del Ecommerce","Crear un carrito",""
"","968","Comprobar el estado de una comanda registrada","","2026-07-10","failed","2026-07-10","","Requests al backend del Ecommerce","Comprobar el estado de una comanda registrada",""
"","2198","Registrar un cliente nuevo exitosamente","","2026-07-10","passed","2026-07-10","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","944","Actualizar la especialidad de un médico específico","","2026-07-10","failed","2026-07-10","","Requests al backend del Ecommerce","Actualizar la especialidad de un médico específico",""
"","1499","Autenticarme como un cliente","","2026-07-10","failed","2026-07-10","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","42144","Validar que el home carga correctamente","","2026-07-10","failed","2026-07-10","","Home del Ecommerce","Validar que el home carga correctamente",""
"","1002","Listar todos los médicos activos","","2026-07-10","failed","2026-07-10","","Requests al backend del Ecommerce","Listar todos los médicos activos",""
"","916","Consultar el estado de los códigos de descuento de doctores","","2026-07-10","failed","2026-07-10","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento de doctores",""
"","951","Validar integracion de la tasa de cambio","","2026-07-10","failed","2026-07-10","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","978","Desactivar un médico haciendo un borrado lógico","","2026-07-10","failed","2026-07-10","","Requests al backend del Ecommerce","Desactivar un médico haciendo un borrado lógico",""
"","966","Registrar un nuevo medico exitosamente","","2026-07-10","failed","2026-07-10","","Requests al backend del Ecommerce","Registrar un nuevo medico exitosamente",""
"","969","Obtener los datos propios de un cliente autenticado","","2026-07-10","failed","2026-07-10","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","4251","Consultar estado de la base de datos","","2026-07-10","passed","2026-07-10","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
