"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2160","Autenticarme como un cliente","","2026-07-23","passed","2026-07-23","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","12956","Visualizar el carrito al hacer click en el icono","","2026-07-23","broken","2026-07-23","","Home del Ecommerce","Visualizar el carrito al hacer click en el icono",""
"","2871","Al cambiar de pagina el usuario debe estar al inicio de la pagina","","2026-07-23","failed","2026-07-23","","Home del Ecommerce","Al cambiar de pagina el usuario debe estar al inicio de la pagina",""
"","3003","Validar que el home carga correctamente","","2026-07-23","passed","2026-07-23","","Home del Ecommerce","Validar que el home carga correctamente",""
"","1927","Registrar un cliente nuevo exitosamente","","2026-07-23","passed","2026-07-23","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","2349","Validar integracion de la tasa de cambio","","2026-07-23","failed","2026-07-23","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","3627","Navegar a la pagina de un producto recomendado desde el home","","2026-07-23","passed","2026-07-23","","Home del Ecommerce","Navegar a la pagina de un producto recomendado desde el home",""
"","7749","Consultar estado de la base de datos","","2026-07-23","passed","2026-07-23","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","2938","Visualizar el carrito al hacer click en el icono","","2026-07-23","passed","2026-07-23","","Home del Ecommerce","Visualizar el carrito al hacer click en el icono",""
"","871","Consultar el estado de los códigos de descuento","","2026-07-23","passed","2026-07-23","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento",""
"","12121","Validar que el boton de buscar por foto no sustituya al de agregar al carrito","","2026-07-23","broken","2026-07-23","","Home del Ecommerce","Validar que el boton de buscar por foto no sustituya al de agregar al carrito",""
"","903","Consultar el estado de los códigos de descuento","","2026-07-23","failed","2026-07-23","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento",""
"","1853","Comprobar el estado de los componentes","","2026-07-23","passed","2026-07-23","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","12402","Agregar un producto al carrito desde el home","","2026-07-23","broken","2026-07-23","","Home del Ecommerce","Agregar un producto al carrito desde el home",""
"","2234","Obtener los datos propios de un cliente autenticado","","2026-07-23","failed","2026-07-23","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
