"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","872","Desactivar un médico haciendo un borrado lógico","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Desactivar un médico haciendo un borrado lógico",""
"","853","Comprobar el estado de una comanda registrada","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Comprobar el estado de una comanda registrada",""
"","42724","Validar que el home carga correctamente","","2026-07-15","failed","2026-07-15","","Home del Ecommerce","Validar que el home carga correctamente",""
"","855","Obtener los datos propios de un cliente autenticado","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","1973","Comprobar el estado de los componentes","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","910","Listar todos los médicos activos","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Listar todos los médicos activos",""
"","913","Actualizar la especialidad de un médico específico","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Actualizar la especialidad de un médico específico",""
"","895","Validar integracion de la tasa de cambio","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","1356","Autenticarme como un cliente","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","989","Registrar un cliente nuevo exitosamente","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","10692","Consultar estado de la base de datos","","2026-07-15","passed","2026-07-15","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","970","Crear un carrito","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Crear un carrito",""
"","914","Consultar el estado de los códigos de descuento de doctores","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento de doctores",""
"","906","Registrar un nuevo medico exitosamente","","2026-07-15","failed","2026-07-15","","Requests al backend del Ecommerce","Registrar un nuevo medico exitosamente",""
