"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3555","Obtener los datos propios de un cliente autenticado","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","2195","Comprobar el estado de los componentes","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","1999","Registrar un cliente nuevo exitosamente","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","2484","Autenticarme como un cliente","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","944","Crear un carrito","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Crear un carrito",""
"","1099","Consultar el estado de los códigos de descuento de doctores","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento de doctores",""
"","15769","Consultar estado de la base de datos","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","1963","Actualizar la especialidad de un médico específico","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Actualizar la especialidad de un médico específico",""
"","2010","Listar todos los médicos activos","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Listar todos los médicos activos",""
"","1001","Comprobar el estado de una comanda registrada","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Comprobar el estado de una comanda registrada",""
"","2027","Registrar un nuevo medico exitosamente","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Registrar un nuevo medico exitosamente",""
"","2056","Validar integracion de la tasa de cambio","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","2007","Desactivar un médico haciendo un borrado lógico","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Desactivar un médico haciendo un borrado lógico",""
