"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2022","Obtener los datos propios de un cliente autenticado","","2026-07-11","failed","2026-07-11","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","2230","Autenticarme como un cliente","","2026-07-11","passed","2026-07-11","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","2105","Registrar un nuevo medico exitosamente","","2026-07-11","failed","2026-07-11","","Requests al backend del Ecommerce","Registrar un nuevo medico exitosamente",""
"","2191","Listar todos los médicos activos","","2026-07-11","failed","2026-07-11","","Requests al backend del Ecommerce","Listar todos los médicos activos",""
"","2037","Desactivar un médico haciendo un borrado lógico","","2026-07-11","failed","2026-07-11","","Requests al backend del Ecommerce","Desactivar un médico haciendo un borrado lógico",""
"","952","Crear un carrito","","2026-07-11","failed","2026-07-11","","Requests al backend del Ecommerce","Crear un carrito",""
"","2083","Validar integracion de la tasa de cambio","","2026-07-11","failed","2026-07-11","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","1735","Comprobar el estado de los componentes","","2026-07-11","passed","2026-07-11","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","42318","Validar que el home carga correctamente","","2026-07-11","failed","2026-07-11","","Home del Ecommerce","Validar que el home carga correctamente",""
"","1848","Registrar un cliente nuevo exitosamente","","2026-07-11","passed","2026-07-11","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","916","Consultar el estado de los códigos de descuento de doctores","","2026-07-11","failed","2026-07-11","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento de doctores",""
"","903","Comprobar el estado de una comanda registrada","","2026-07-11","failed","2026-07-11","","Requests al backend del Ecommerce","Comprobar el estado de una comanda registrada",""
"","2038","Actualizar la especialidad de un médico específico","","2026-07-11","failed","2026-07-11","","Requests al backend del Ecommerce","Actualizar la especialidad de un médico específico",""
"","8086","Consultar estado de la base de datos","","2026-07-11","passed","2026-07-11","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
