"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1131","Registrar un nuevo medico exitosamente","","2026-07-07","failed","2026-07-07","","Requests al backend del Ecommerce","Registrar un nuevo medico exitosamente",""
"","953","Consultar el estado de los códigos de descuento de doctores","","2026-07-07","failed","2026-07-07","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento de doctores",""
"","922","Crear un carrito","","2026-07-07","failed","2026-07-07","","Requests al backend del Ecommerce","Crear un carrito",""
"","911","Actualizar la especialidad de un médico específico","","2026-07-07","failed","2026-07-07","","Requests al backend del Ecommerce","Actualizar la especialidad de un médico específico",""
"","934","Validar integracion de la tasa de cambio","","2026-07-07","failed","2026-07-07","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","42345","Validar que el home carga correctamente","","2026-07-07","failed","2026-07-07","","Home del Ecommerce","Validar que el home carga correctamente",""
"","7672","Consultar estado de la base de datos","","2026-07-07","passed","2026-07-07","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","956","Desactivar un médico haciendo un borrado lógico","","2026-07-07","failed","2026-07-07","","Requests al backend del Ecommerce","Desactivar un médico haciendo un borrado lógico",""
"","926","Obtener los datos propios de un cliente autenticado","","2026-07-07","failed","2026-07-07","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","937","Listar todos los médicos activos","","2026-07-07","failed","2026-07-07","","Requests al backend del Ecommerce","Listar todos los médicos activos",""
"","1935","Registrar un cliente nuevo exitosamente","","2026-07-07","passed","2026-07-07","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","939","Comprobar el estado de una comanda registrada","","2026-07-07","failed","2026-07-07","","Requests al backend del Ecommerce","Comprobar el estado de una comanda registrada",""
"","1904","Comprobar el estado de los componentes","","2026-07-07","passed","2026-07-07","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","1516","Autenticarme como un cliente","","2026-07-07","failed","2026-07-07","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
