"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1960","Obtener los datos propios de un cliente autenticado","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Obtener los datos propios de un cliente autenticado",""
"","2251","Autenticarme como un cliente","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Autenticarme como un cliente",""
"","1898","Desactivar un médico haciendo un borrado lógico","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Desactivar un médico haciendo un borrado lógico",""
"","985","Crear un carrito","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Crear un carrito",""
"","2163","Validar integracion de la tasa de cambio","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Validar integracion de la tasa de cambio",""
"","12364","Consultar estado de la base de datos","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Consultar estado de la base de datos",""
"","2067","Listar todos los médicos activos","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Listar todos los médicos activos",""
"","1746","Registrar un cliente nuevo exitosamente","","2026-06-30","passed","2026-06-30","","Requests al backend del Ecommerce","Registrar un cliente nuevo exitosamente",""
"","1119","Consultar el estado de los códigos de descuento de doctores","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Consultar el estado de los códigos de descuento de doctores",""
"","1959","Actualizar la especialidad de un médico específico","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Actualizar la especialidad de un médico específico",""
"","929","Comprobar el estado de una comanda registrada","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Comprobar el estado de una comanda registrada",""
"","1964","Comprobar el estado de los componentes","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Comprobar el estado de los componentes",""
"","2077","Registrar un nuevo medico exitosamente","","2026-06-30","failed","2026-06-30","","Requests al backend del Ecommerce","Registrar un nuevo medico exitosamente",""
